train/entropy_loss,time/iterations,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,train/policy_loss,train/value_loss
-1.6000791129943968e-20,1700,8500,1699,-3100.230224609375,500.0,-1.1446917057037354,0.0007,19,429,-0.0,6.819058418273926
-3.53124078448278e-24,1800,9000,1799,-3100.332763671875,500.0,-13.92171859741211,0.0007,19,453,-0.0,1.1074001789093018
-1.027608967932859e-24,1900,9500,1899,-3100.357666015625,500.0,-6.030529975891113,0.0007,19,477,-0.0,1.7855116128921509
-8.645213750561005e-22,2000,10000,1999,-3100.201416015625,500.0,-2.3118605613708496,0.0007,19,500,-0.0,1.1061336994171143
-1.7047077164724535e-22,2100,10500,2099,-3100.2265625,500.0,-48.70494842529297,0.0007,20,524,-0.0,11.146397590637207
-3.612612496831142e-23,2200,11000,2199,-3100.1923828125,500.0,-6713540.0,0.0007,20,548,-0.0,1.0580636262893677
-1.0274536530535345e-22,2300,11500,2299,-3100.2880859375,500.0,-83.96333312988281,0.0007,20,572,-0.0,1.1405787467956543
-1.2518188171995486e-24,2400,12000,2399,-3100.454345703125,500.0,-3.916163444519043,0.0007,20,596,-0.0,2.342806339263916
-3.314846030320543e-22,2500,12500,2499,-3100.4765625,500.0,-2.9239892959594727,0.0007,20,619,-0.0,1.2977405786514282
-2.0108619832160867e-22,2600,13000,2599,-3100.579833984375,500.0,-4.28258752822876,0.0007,20,643,-0.0,3.4827804565429688
-1.0116001994312337e-22,2700,13500,2699,-3100.51123046875,500.0,-43.423030853271484,0.0007,20,667,-0.0,5.6316070556640625
-2.3638872095043314e-22,2800,14000,2799,-3100.455810546875,500.0,-1.7037758827209473,0.0007,20,695,-0.0,1.5905728340148926
-4.35854864029982e-23,2900,14500,2899,-3100.361328125,500.0,-170.6284637451172,0.0007,20,719,-0.0,0.760232150554657
-1.1714749131445486e-20,3000,15000,2999,-3100.2978515625,500.0,-2.3913841247558594,0.0007,20,743,-0.0,4.842746734619141
-3.4476261083402243e-20,3100,15500,3099,-3100.2333984375,500.0,-0.5696454048156738,0.0007,20,767,-0.0,22.209270477294922
-2.9035445566288737e-24,3200,16000,3199,-3100.198974609375,500.0,-4.439460754394531,0.0007,20,790,-0.0,4.16873836517334
-1.4635778329343815e-20,3300,16500,3299,-3100.20703125,500.0,-2.3035173416137695,0.0007,20,814,-0.0,10.366476058959961
-1.856687007899692e-23,3400,17000,3399,-3100.139892578125,500.0,-8.994124412536621,0.0007,20,838,-0.0,1.369438886642456
-1.812887557175649e-23,3500,17500,3499,-3100.2734375,500.0,-1257.8466796875,0.0007,20,862,-0.0,0.7802149653434753
-4.3377884466034956e-20,3600,18000,3599,-3100.375244140625,500.0,-2.1965434551239014,0.0007,20,885,-0.0,12.249043464660645
-5.474983720869495e-23,3700,18500,3699,-3100.37646484375,500.0,-62.887916564941406,0.0007,20,909,-0.0,1.6475248336791992
-2.3896912662326687e-21,3800,19000,3799,-3100.367919921875,500.0,-2.48201847076416,0.0007,20,933,-0.0,10.282702445983887
-1.784654126927948e-20,3900,19500,3899,-3100.357666015625,500.0,-0.9669451713562012,0.0007,20,957,-0.0,11.513041496276855
-6.54590023978692e-21,4000,20000,3999,-3100.40185546875,500.0,-0.31410694122314453,0.0007,20,981,-0.0,10.13158893585205
-4.4078017231199276e-24,4100,20500,4099,-3100.425537109375,500.0,-6.261354446411133,0.0007,20,1004,-0.0,2.524178981781006
-6.696113166728868e-25,4200,21000,4199,-3100.419189453125,500.0,-1.3001127243041992,0.0007,20,1033,-0.0,3.972473621368408
-1.7233999649482826e-24,4300,21500,4299,-3100.3740234375,500.0,-2.5114586353302,0.0007,20,1057,-0.0,1.8366132974624634
-7.399910907872503e-21,4400,22000,4399,-3100.382080078125,500.0,-0.05392146110534668,0.0007,20,1081,-0.0,16.6600284576416
-1.7828890702162664e-23,4500,22500,4499,-3100.4833984375,500.0,-238.7283935546875,0.0007,20,1104,-0.0,1.085518717765808
-2.6584687447734094e-24,4600,23000,4599,-3100.50244140625,500.0,-4.839262962341309,0.0007,20,1128,-0.0,2.557722330093384
-1.6865988148588172e-24,4700,23500,4699,-3100.483154296875,500.0,-7.874314308166504,0.0007,20,1152,-0.0,4.8678083419799805
