train/actor_loss,rollout/ep_len_mean,time/episodes,train/n_updates,time/fps,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate
0.033196973614394665,1992.33,184,35656,27,3.347799726327594e-08,0.0,361530,13253,0.0001
0.03253272734582424,1992.33,188,36456,27,3.2273280048400466e-08,0.0,369530,13529,0.0001
0.03194746654480696,1992.33,192,37256,27,3.607235621316818e-08,0.0,377530,13805,0.0001
0.031278084963560104,1992.33,196,38056,27,9.942790235584198e-08,0.0,385530,14080,0.0001
0.0307561201043427,1992.33,200,38856,27,3.409332971493484e-08,0.0,393530,14358,0.0001
0.030173259787261486,1992.33,204,39656,27,3.1075557016535527e-08,0.0,401530,14634,0.0001
0.029528703074902296,1992.33,208,40456,27,3.05919074516936e-08,0.0,409530,14912,0.0001
0.02900001686066389,1992.33,212,41256,27,2.8763445181212433e-08,0.0,417530,15184,0.0001
0.028425446711480618,1992.33,216,42056,27,2.4915081553444907e-08,0.0,425530,15460,0.0001
0.027801227755844593,2000.0,220,42856,27,2.771933349521305e-08,0.0,433530,15738,0.0001
0.02716056164354086,2000.0,224,43656,27,1.9007442508822692e-08,0.0,441530,16013,0.0001
0.02663990994915366,2000.0,228,44456,27,2.9193385486792067e-08,0.0,449530,16289,0.0001
0.026098594069480896,2000.0,232,45256,27,1.6158171800562116e-08,0.0,457530,16566,0.0001
0.02555298712104559,2000.0,236,46056,27,3.320959240937782e-08,0.0,465530,16844,0.0001
0.02507231291383505,2000.0,240,46856,27,1.3966986567304218e-08,0.0,473530,17122,0.0001
0.024566172622144222,2000.0,244,47656,27,9.96494414762239e-09,0.0,481530,17399,0.0001
0.024115902837365866,2000.0,248,48456,27,9.045230953130812e-09,0.0,489530,17677,0.0001
0.023675980977714062,2000.0,252,49256,27,9.039581083669646e-09,0.0,497530,17955,0.0001
0.023230770602822304,2000.0,256,50056,27,8.300663989491142e-09,0.0,505530,18232,0.0001
