rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
0.0,127603,6517,19,564.48,176,0.0001,1.0957152767332445e-05,0.09298168681561947,12264
0.0,129253,6627,19,524.56,180,0.0001,6.104959140884603e-05,0.09246770851314068,12424
0.0,131072,6743,19,500.18,184,0.0001,4.527625281980363e-05,0.09249995648860931,12608
0.0,132881,6858,19,491.2,188,0.0001,2.566813421367442e-05,0.09211278706789017,12792
0.0,134721,6974,19,491.7,192,0.0001,3.713214124445585e-05,0.09180308319628239,12976
0.0,136413,7086,19,482.52,196,0.0001,5.1439395463148685e-06,0.09176878817379475,13144
0.0,138161,7204,19,470.17,200,0.0001,4.059611597995172e-05,0.09099872224032879,13320
0.0,140081,7322,19,464.8,204,0.0001,7.478137632688231e-06,0.09028246067464352,13512
0.0,141841,7435,19,452.8,208,0.0001,4.401527597508448e-05,0.08972174115478992,13688
0.0,143565,7552,19,438.2,212,0.0001,9.116244854112665e-06,0.08960526250302792,13856
0.0,145361,7667,18,423.86,216,0.0001,2.0599085530648154e-05,0.0891961008310318,14040
0.0,147121,7780,18,426.05,220,0.0001,5.031672139921284e-05,0.08892148360610008,14216
0.0,148881,7894,18,427.36,224,0.0001,2.0636359920445102e-05,0.08844684809446335,14392
0.0,150561,8010,18,428.29,228,0.0001,2.000079923902831e-05,0.08820935152471066,14560
0.0,152161,8123,18,428.0,232,0.0001,3.7121405057405354e-05,0.07256724126636982,14720
0.0,153675,8229,18,426.5,236,0.0001,1.7353209983639317e-05,0.051633892580866814,14864
0.0,155121,8335,18,424.83,240,0.0001,1.0371796577146597e-05,0.051233998499810696,15016
0.0,156641,8443,18,424.0,244,0.0001,3.9219990810579475e-06,0.05175312049686909,15168
0.0,158090,8549,18,422.49,248,0.0001,2.198564618538512e-05,0.051596252247691154,15312
0.0,159669,8662,18,421.48,252,0.0001,1.0500177268113475e-05,0.05092734284698963,15464
0.0,161201,8769,18,420.46,256,0.0001,3.3924840465715533e-06,0.0509716784581542,15624
0.0,162721,8876,18,417.57,260,0.0001,2.075456799843778e-05,0.05048601236194372,15776
0.0,164294,8987,18,414.13,264,0.0001,3.2265537157627477e-06,0.04989226348698139,15928
0.0,165921,9099,18,413.91,268,0.0001,9.56924273509685e-06,0.04951256699860096,16096
0.0,167467,9206,18,413.06,272,0.0001,1.5192854561973945e-05,0.049236997961997986,16248
0.0,168884,9312,18,412.81,276,0.0001,1.5381542766590428e-05,0.04880134668201208,16392
0.0,170481,9426,18,412.28,280,0.0001,1.5663491268469443e-05,0.048854557797312737,16552
0.0,172081,9536,18,410.09,284,0.0001,1.4612259633395297e-05,0.04769404511898756,16712
0.0,173601,9643,18,407.2,288,0.0001,2.156260137553545e-05,0.04725207295268774,16864
0.0,175121,9750,17,404.0,292,0.0001,1.556014404968664e-05,0.047208939678967,17016
0.0,176674,9858,17,402.61,296,0.0001,5.57463567929517e-06,0.04617856349796057,17168
0.0,178241,9967,17,400.8,300,0.0001,1.032580595961008e-05,0.04627583362162113,17328
0.0,179921,10078,17,398.4,304,0.0001,1.5295582670660224e-05,0.04556941147893667,17496
0.0,181425,10193,17,395.84,308,0.0001,5.42566914418785e-06,0.04465877264738083,17640
0.0,182929,10300,17,393.64,312,0.0001,3.85973521588312e-06,0.04497451055794954,17792
0.0,184536,10410,17,391.75,316,0.0001,8.555900791407112e-06,0.044044822454452515,17952
0.0,186054,10517,17,389.33,320,0.0001,7.724403232600707e-06,0.04357585683465004,18104
0.0,187556,10627,17,386.75,324,0.0001,2.713773801588104e-05,0.043461861088871956,18256
0.0,189075,10735,17,385.14,328,0.0001,2.709166921022188e-05,0.0428932374343276,18408
0.0,190561,10841,17,384.0,332,0.0001,7.665068210371828e-06,0.04277282953262329,18560
0.0,192161,10950,17,384.86,336,0.0001,3.345027846535231e-05,0.041738711297512054,18720
0.0,193756,11059,17,386.35,340,0.0001,8.072632809330571e-06,0.04208623804152012,18872
0.0,195281,11168,17,386.4,344,0.0001,1.0931170407957325e-05,0.04210670478641987,19032
0.0,196881,11277,17,387.91,348,0.0001,5.2878606879858125e-06,0.04122934676706791,19192
0.0,198456,11390,17,387.87,352,0.0001,9.432764827010942e-06,0.04101064708083868,19344
0.0,199972,11498,17,387.71,356,0.0001,9.020123371783484e-06,0.0406681289896369,19496
0.0,201554,11607,17,388.33,360,0.0001,2.745545714333275e-05,0.04065653868019581,19656
0.0,203185,11721,17,388.91,364,0.0001,3.640019684780782e-06,0.03996188286691904,19816
0.0,204606,11826,17,386.85,368,0.0001,4.091909048042908e-06,0.03933181706815958,19960
0.0,206161,11935,17,386.94,372,0.0001,2.1102088737734448e-05,0.03946764674037695,20120
0.0,207681,12042,17,387.97,376,0.0001,8.79778451690072e-06,0.03948108199983835,20272
0.0,209201,12150,17,387.2,380,0.0001,1.5121377145987935e-06,0.03917515091598034,20424
0.0,210633,12254,17,385.52,384,0.0001,7.908519421562232e-06,0.03873106464743614,20560
0.0,212320,12366,17,387.19,388,0.0001,8.037871964461374e-06,0.03861837089061737,20728
0.0,213761,12471,17,386.4,392,0.0001,4.6201256509448285e-06,0.0385670717805624,20880
0.0,215441,12583,17,387.67,396,0.0001,5.157991580517773e-06,0.037923253141343594,21048
0.0,217041,12692,17,388.0,400,0.0001,1.4545202219551356e-05,0.03757436480373144,21208
0.0,218570,12800,17,386.49,404,0.0001,1.5706351064181945e-06,0.037674025632441044,21360
0.0,220056,12905,17,386.31,408,0.0001,1.1170883837507972e-05,0.03687683213502169,21504
0.0,221582,13013,17,386.53,412,0.0001,7.818214299959436e-06,0.03723871987313032,21656
0.0,226881,13226,17,423.45,416,0.0001,1.1554276127867524e-05,0.036758401431143284,22192
0.0,228465,13335,17,424.11,420,0.0001,6.109284086619482e-06,0.036454769782721996,22344
0.0,229956,13441,17,424.0,424,0.0001,4.718605431719425e-06,0.036395248025655746,22496
0.0,231441,13552,17,423.66,428,0.0001,8.56613267785633e-06,0.035753967240452766,22648
0.0,232934,13658,17,423.73,432,0.0001,3.286497850751857e-06,0.035472636111080647,22792
0.0,234401,13764,17,422.4,436,0.0001,3.870902091307471e-06,0.03555407281965017,22944
0.0,235913,13874,17,421.57,440,0.0001,3.2137000403054117e-06,0.035103779286146164,23088
0.0,237441,13982,16,421.6,444,0.0001,5.714265384426653e-06,0.035456353798508644,23248
0.0,239041,14091,16,421.6,448,0.0001,8.228182849734367e-06,0.034661795012652874,23408
0.0,240502,14197,16,420.46,452,0.0001,5.369034923319305e-06,0.034847307950258255,23552
0.0,242001,14304,16,420.29,456,0.0001,5.600289242124745e-06,0.034810323268175125,23704
0.0,243521,14411,16,419.67,460,0.0001,9.23617524506426e-06,0.03415234573185444,23856
0.0,245085,14525,16,419.0,464,0.0001,8.54900225988331e-06,0.03412293270230293,24008
0.0,246801,14638,16,421.95,468,0.0001,5.574683783038381e-06,0.033822364173829556,24184
0.0,248161,14740,16,420.0,472,0.0001,1.2533710673778842e-05,0.033874472603201866,24320
0.0,249761,14849,16,420.8,476,0.0001,7.323915582446716e-06,0.033633261919021606,24480
0.0,251441,14961,16,422.4,480,0.0001,7.5506686130211165e-06,0.033571381121873856,24648
0.0,253041,15077,16,424.08,484,0.0001,8.625125651917642e-06,0.03337011951953173,24808
0.0,254401,15179,16,420.81,488,0.0001,1.6098313437851175e-06,0.03340973425656557,24944
0.0,255823,15297,16,420.62,492,0.0001,9.419088300433032e-06,0.03296921122819185,25080
0.0,257310,15404,16,418.69,496,0.0001,6.583573167517898e-06,0.033292911015450954,25232
0.0,258801,15511,16,417.6,500,0.0001,3.4182181849473636e-06,0.033258091658353806,25384
0.0,260335,15621,16,417.65,504,0.0001,1.1387927401074194e-05,0.033185883425176144,25536
0.0,261888,15730,16,418.32,508,0.0001,8.641451785251775e-06,0.03308752365410328,25688
0.0,263636,15849,16,420.54,512,0.0001,6.798445326694491e-06,0.03275453019887209,25864
0.0,265281,15960,16,384.0,516,0.0001,3.116320215212909e-06,0.032640677876770496,26032
0.0,266856,16068,16,383.91,520,0.0001,7.143476523197023e-06,0.032609669491648674,26184
0.0,268335,16174,16,383.79,524,0.0001,1.1156691130054242e-05,0.03188405837863684,26336
0.0,269894,16282,16,384.53,528,0.0001,6.2699818670353125e-06,0.0325165344402194,26488
