train/value_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_loss,time/iterations,train/learning_rate,train/entropy_loss
7.1511212809127755e-06,0.6666666865348816,18,-241.76589965820312,1899,771.9166666666666,510,9500,-0.004383309278637171,1900,0.0007,-2.3013787269592285
7.53422057186981e-07,0.6153846383094788,18,-0.14699769020080566,1999,736.2307692307693,539,10000,-0.0018242824589833617,2000,0.0007,-2.3009488582611084
8.712110854958155e-08,0.6428571343421936,18,1.1920928955078125e-07,2099,715.4285714285714,570,10500,-0.000608820584602654,2100,0.0007,-2.3009908199310303
1.0796502465382218e-06,0.6666666865348816,18,0.0,2199,724.8666666666667,602,11000,-0.0021912597585469484,2200,0.0007,-2.300687074661255
1.878155899248668e-06,0.6875,18,0.5059278011322021,2299,709.1875,635,11500,-0.0029931210447102785,2300,0.0007,-2.300161600112915
2.007625425903825e-06,0.7058823704719543,17,5.960464477539063e-08,2399,696.4705882352941,669,12000,-0.0029452666640281677,2400,0.0007,-2.299285888671875
0.00012788016465492547,0.7222222089767456,17,-812.52783203125,2499,683.8888888888889,696,12500,0.022980626672506332,2500,0.0007,-2.299650192260742
8.387135494558606e-06,0.7368420958518982,17,-1.1525547504425049,2599,670.8421052631579,727,13000,-0.005948087200522423,2600,0.0007,-2.2980682849884033
4.049382368975785e-06,0.75,17,0.0,2699,663.55,757,13500,-0.004066401161253452,2700,0.0007,-2.295767307281494
2.5843357889243634e-06,0.761904776096344,17,0.0,2799,663.8095238095239,789,14000,-0.0034111447166651487,2800,0.0007,-2.2925424575805664
4.4171529225423e-06,0.7727272510528564,17,0.0,2899,656.9090909090909,820,14500,-0.004231363069266081,2900,0.0007,-2.2896580696105957
7.823118721717037e-07,0.7727272510528564,17,0.0,2999,656.9090909090909,839,15000,-0.0017908855807036161,3000,0.0007,-2.289030075073242
3.500550604940145e-08,0.7727272510528564,18,0.0,3099,656.9090909090909,857,15500,-0.00037825977778993547,3100,0.0007,-2.2886717319488525
3.096835635152395e-11,0.7727272510528564,18,-1.1920928955078125e-07,3199,656.9090909090909,875,16000,-1.1262495718256105e-05,3200,0.0007,-2.2886393070220947
1.1406927648543314e-13,0.7727272510528564,18,0.0,3299,656.9090909090909,890,16500,-7.184525543380005e-07,3300,0.0007,-2.288835048675537
1.8612858154665646e-16,0.7727272510528564,18,0.0,3399,656.9090909090909,902,17000,3.397522618797666e-08,3400,0.0007,-2.2888307571411133
9.326559489986064e-12,0.7727272510528564,19,0.0,3499,656.9090909090909,917,17500,6.427017069654539e-06,3500,0.0007,-2.288738250732422
3.056464857684876e-14,0.7727272510528564,19,0.0,3599,656.9090909090909,933,18000,-3.520144105095824e-07,3600,0.0007,-2.2887468338012695
6.014627516449158e-18,0.739130437374115,19,0.0,3699,802.2608695652174,962,18500,-2.5008213277999403e-09,3700,0.0007,-2.288562297821045
2.9803511546709627e-14,0.739130437374115,19,0.0,3799,802.2608695652174,979,19000,3.6134071024207515e-07,3800,0.0007,-2.2900984287261963
2.4881314892909255e-17,0.739130437374115,19,0.0,3899,802.2608695652174,995,19500,-9.813189372209763e-09,3900,0.0007,-2.290097236633301
9.266739628053548e-17,0.739130437374115,19,-1.1920928955078125e-07,3999,802.2608695652174,1007,20000,-1.3820958599808364e-08,4000,0.0007,-2.29009747505188
2.581774793952718e-09,0.739130437374115,20,0.0,4099,802.2608695652174,1021,20500,0.0001076492335414514,4100,0.0007,-2.2898271083831787
3.849853088160216e-17,0.739130437374115,20,0.0,4199,802.2608695652174,1041,21000,1.3492983619300958e-08,4200,0.0007,-2.289853811264038
1.5156738074996996e-17,0.739130437374115,20,0.0,4299,802.2608695652174,1059,21500,8.204934509592476e-09,4300,0.0007,-2.289853811264038
0.0,0.739130437374115,20,nan,4399,802.2608695652174,1079,22000,-0.0,4400,0.0007,-2.289533853530884
4.1577293812802076e-17,0.7083333134651184,20,-1.1920928955078125e-07,4499,935.5,1117,22500,1.3424481082324746e-08,4500,0.0007,-2.290134906768799
6.8860376813972834e-06,0.7200000286102295,19,-0.31609630584716797,4599,910.48,1153,23000,-0.005097680725157261,4600,0.0007,-2.2768473625183105
2.1819273570145015e-06,0.7307692170143127,19,0.5000924468040466,4699,889.7692307692307,1184,23500,-0.003049875143915415,4700,0.0007,-2.25750470161438
5.460424858938495e-07,0.7407407164573669,19,-41.339046478271484,4799,878.7037037037037,1216,24000,-0.00011026603169739246,4800,0.0007,-2.254756212234497
5.2843737648800015e-05,0.7241379022598267,19,-16.618066787719727,4899,844.7586206896551,1260,24500,0.013564914464950562,4900,0.0007,-2.153473138809204
1.4777268006582744e-05,0.7241379022598267,19,0.19159245491027832,4999,844.7586206896551,1276,25000,-0.00715589290484786,5000,0.0007,-2.2269508838653564
