time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss
20,40960,500.0,20,2013,-3129.678955078125,0.0,-3.0505908425742594e-19,0.0,190,0.2,30.182321548461914,0.2638254165649414,0.0003,-7.82747520133853e-09,59.28849218860269
21,43008,500.0,20,2123,-3128.02001953125,0.0,-2.549241982125191e-19,0.0,200,0.2,19.832185745239258,0.3179360032081604,0.0003,-1.8277205526828765e-09,60.27165778577328
22,45056,500.0,20,2221,-3126.869140625,0.0,-2.127010541657578e-19,0.0,210,0.2,25.47055435180664,0.29934805631637573,0.0003,5.1273673307150606e-09,58.378963770717384
23,47104,500.0,20,2322,-3125.81982421875,0.0,-1.8008922043889566e-19,0.0,220,0.2,42.991920471191406,0.30778229236602783,0.0003,-1.4263787306845189e-08,60.45068944245577
24,49152,500.0,20,2420,-3124.80810546875,0.0,-2.0283556160357354e-19,0.0,230,0.2,21.931915283203125,-0.1361933946609497,0.0003,-2.184970071539283e-09,55.445085948705675
25,51200,500.0,20,2518,-3115.48291015625,0.0,-1.6701569497610943e-19,0.0,240,0.2,6.649287223815918,0.2896319031715393,0.0003,-2.821980160661042e-09,33.6887499012053
26,53248,500.0,20,2616,-3111.610107421875,0.0,-1.6071987640641594e-19,0.0,250,0.2,32.0055046081543,0.43000370264053345,0.0003,4.511457518674433e-09,58.05145677886903
27,55296,500.0,20,2715,-3101.3798828125,0.0,-5.281041131866077e-20,0.0,260,0.2,3.1402361392974854,0.4821092486381531,0.0003,-1.0503572411835193e-08,7.413987495750189
28,57344,500.0,20,2816,-3101.3896484375,0.0,-4.878690232029661e-20,0.0,270,0.2,0.8390262126922607,0.5524435043334961,0.0003,-1.6167177818715572e-09,20.34972730912268
29,59392,500.0,20,2914,-3101.441162109375,0.0,-4.293001257712662e-20,0.0,280,0.2,29.804298400878906,0.24641138315200806,0.0003,3.714376362040639e-09,35.03273864798248
30,61440,500.0,20,3012,-3101.474609375,0.0,-3.418280120925946e-20,0.0,290,0.2,22.647472381591797,0.3970159888267517,0.0003,-4.320463631302118e-09,57.745548417791724
31,63488,500.0,20,3115,-3101.578369140625,0.0,-3.169916088294781e-20,0.0,300,0.2,22.355043411254883,0.5756376385688782,0.0003,-2.7459464035928248e-09,57.67315745539963
32,65536,500.0,20,3225,-3101.607177734375,0.0,-2.974634701361007e-20,0.0,310,0.2,3.640655994415283,0.5613175630569458,0.0003,2.610249794088304e-09,39.05490729212761
33,67584,500.0,20,3323,-3101.566162109375,0.0,-2.935046563501122e-20,0.0,320,0.2,1.5867666006088257,0.6314923763275146,0.0003,2.000888343900442e-10,25.135013958998023
34,69632,500.0,20,3424,-3101.754150390625,0.0,-2.944023276546461e-20,0.0,330,0.2,0.8346571922302246,0.6629904508590698,0.0003,1.9754224922508e-09,24.923353641107678
