rollout/ep_rew_mean,time/episodes,train/learning_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss
0.0,132,0.0001,2000.0,20,12958,25712,262088,-0.0019259883556514978,5.780341844063841e-09
0.0,136,0.0001,2000.0,20,13335,26512,270088,-0.0018551164830569178,6.308740002625157e-09
0.0,140,0.0001,2000.0,20,13714,27312,278088,-0.0018195587617810816,5.440696504432907e-09
0.0,144,0.0001,2000.0,20,14098,28112,286088,-0.00173356564482674,5.0370864701498874e-09
0.0,148,0.0001,2000.0,20,14472,28912,294088,-0.001686371659161523,1.7433791993370917e-08
0.0,152,0.0001,2000.0,20,14842,29712,302088,-0.001653013372560963,2.7094706825381287e-09
0.0,156,0.0001,2000.0,20,15229,30512,310088,-0.0016048626275733113,8.23760150370223e-10
0.0,160,0.0001,2000.0,20,15612,31312,318088,-0.0015789050667081028,3.2436454078244026e-09
0.0,164,0.0001,2000.0,20,15989,32112,326088,-0.0015511407982558012,3.8827720413858735e-09
0.0,168,0.0001,2000.0,20,16364,32912,334088,-0.0014990725903771818,2.984517036286327e-09
0.0,172,0.0001,2000.0,20,16738,33712,342088,-0.0014885511482134461,1.6270809838347944e-09
0.0,176,0.0001,2000.0,20,17121,34512,350088,-0.001367365155601874,6.311432043659693e-09
0.0,180,0.0001,2000.0,20,17503,35312,358088,-0.0013697015237994492,9.618415508505507e-10
0.0,184,0.0001,2000.0,20,17878,36112,366088,-0.001318779744906351,2.085915613847522e-09
0.0,188,0.0001,2000.0,20,18250,36912,374088,-0.00131229154067114,2.1109519132700427e-09
0.0,192,0.0001,2000.0,20,18632,37712,382088,-0.0013234783546067774,2.575789206926693e-09
0.0,196,0.0001,2000.0,20,19011,38512,390088,-0.0012674860190600157,2.3262057419204396e-09
0.0,200,0.0001,2000.0,20,19388,39312,398088,-0.0012411559582687914,6.461919324282639e-10
0.0,204,0.0001,2000.0,20,19767,40112,406088,-0.0012830152118112892,5.137788930409393e-09
0.0,208,0.0001,2000.0,20,20140,40912,414088,-0.0011791143915615976,7.529426786917481e-10
0.0,212,0.0001,2000.0,20,20531,41712,422088,-0.001175114157376811,5.905840009742813e-10
0.0,216,0.0001,2000.0,20,20907,42512,430088,-0.001160742889624089,7.490948243649154e-10
0.0,220,0.0001,2000.0,20,21283,43312,438088,-0.0011397293128538877,1.5416923467015398e-09
0.0,224,0.0001,2000.0,20,21663,44112,446088,-0.001120261469623074,1.6294897462604263e-09
0.0,228,0.0001,2000.0,20,22039,44912,454088,-0.0010782534372992814,2.4959194606932744e-10
0.0,232,0.0001,2000.0,20,22422,45712,462088,-0.0010208236635662615,7.483324342139053e-10
0.0,236,0.0001,2000.0,20,22807,46512,470088,-0.001029223931254819,3.4187962009990525e-10
0.0,240,0.0001,2000.0,20,23184,47312,478088,-0.0010205720900557935,6.586967984945069e-10
