train/policy_loss,train/value_loss,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/entropy_loss,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
-0.0015078387223184109,1.1766222996811848e-05,7,2600,13000,-9.019350051879883,2599,-1.1901628971099854,1646,0.0007,3.2857143878936768,1694.142857142857
0.00032977137016132474,7.849473149690311e-06,8,2700,13500,-245.6767578125,2699,-1.2714650630950928,1671,0.0007,3.2857143878936768,1694.142857142857
-0.0052629015408456326,0.0005466040456667542,8,2800,14000,-4.520244598388672,2799,-0.8321889638900757,1747,0.0007,4.75,1732.375
-0.005482643377035856,3.7006495404057205e-05,8,2900,14500,0.08330702781677246,2899,-1.2892307043075562,1810,0.0007,4.75,1732.375
-0.03204195201396942,0.00041614024667069316,7,3000,15000,-2.036367416381836,2999,-1.0132942199707031,1919,0.0007,4.75,1732.375
-0.0019228861201554537,1.5339202946051955e-05,7,3100,15500,-0.576935887336731,3099,-1.3080283403396606,1974,0.0007,4.75,1732.375
-0.0012825807789340615,6.448703061323613e-05,7,3200,16000,-0.6080429553985596,3199,-1.0272687673568726,2098,0.0007,6.777777671813965,1762.111111111111
0.022673849016427994,0.0004360893799457699,7,3300,16500,-1553.5133056640625,3299,-1.6026391983032227,2127,0.0007,6.777777671813965,1762.111111111111
0.001789197907783091,6.842154107289389e-06,7,3400,17000,-0.7290054559707642,3399,-0.5826119780540466,2231,0.0007,6.777777671813965,1762.111111111111
0.0032720197923481464,2.502783900126815e-05,7,3500,17500,-69.67578125,3499,-0.6944817900657654,2251,0.0007,6.777777671813965,1762.111111111111
-0.00047931569861248136,1.2928219803143293e-05,7,3600,18000,0.31609469652175903,3599,-0.5225127935409546,2411,0.0007,7.300000190734863,1785.9
-0.008474667556583881,0.00021382467821240425,7,3700,18500,-0.16060614585876465,3699,-0.557486891746521,2552,0.0007,7.300000190734863,1785.9
-0.006471357308328152,2.973864866362419e-05,7,3800,19000,-7.358488082885742,3799,-1.8881266117095947,2653,0.0007,7.300000190734863,1785.9
0.0009903132449835539,1.9138747120450716e-06,7,3900,19500,-3.179717540740967,3899,-1.8760467767715454,2749,0.0007,7.454545497894287,1747.5454545454545
0.0011841937666758895,2.7305175080982735e-06,7,4000,20000,0.23651832342147827,3999,-1.7632020711898804,2835,0.0007,7.454545497894287,1747.5454545454545
-0.0008394956821575761,7.740802175248973e-06,6,4100,20500,-7.954845428466797,4099,-1.9187606573104858,2933,0.0007,7.166666507720947,1672.8333333333333
-0.005276061128824949,3.0395376597880386e-05,6,4200,21000,-81.57402801513672,4199,-1.7727749347686768,3004,0.0007,7.166666507720947,1672.8333333333333
-0.0006800077389925718,1.4072506928641815e-06,7,4300,21500,-3421.287109375,4299,-1.7477970123291016,3033,0.0007,7.166666507720947,1672.8333333333333
-0.0006110581452958286,2.6437069777784927e-07,7,4400,22000,-559.947265625,4399,-1.6922109127044678,3065,0.0007,7.166666507720947,1672.8333333333333
